Time (s),Amplitude
8.789473684210527e-08,99999999.3106466
8.802631578947368e-08,99999999.31665915
8.81578947368421e-08,99999999.32271843
8.828947368421053e-08,99999999.328824
8.842105263157895e-08,99999999.33497542
8.855263157894737e-08,99999999.34117232
8.868421052631579e-08,99999999.34741424
8.88157894736842e-08,99999999.35370076
8.894736842105263e-08,99999999.36003146
8.907894736842105e-08,99999999.3664059
8.921052631578948e-08,99999999.37282364
8.93421052631579e-08,99999999.37928425
8.947368421052631e-08,99999999.3857873
8.960526315789474e-08,99999999.3923323
8.973684210526315e-08,99999999.39891885
8.986842105263158e-08,99999999.40554649
9e-08,99999999.41221474
9.013157894736843e-08,99999999.41892318
9.026315789473684e-08,99999999.42567134
9.039473684210526e-08,99999999.43245874
9.052631578947369e-08,99999999.43928494
9.06578947368421e-08,99999999.44614947
9.078947368421053e-08,99999999.45305184
9.092105263157895e-08,99999999.4599916
9.105263157894736e-08,99999999.46696827
9.118421052631579e-08,99999999.47398137
9.131578947368421e-08,99999999.48103042
9.144736842105264e-08,99999999.48811495
9.157894736842105e-08,99999999.49523446
9.171052631578947e-08,99999999.50238848
9.18421052631579e-08,99999999.5095765
9.197368421052631e-08,99999999.51679803
9.210526315789474e-08,99999999.5240526
9.223684210526316e-08,99999999.5313397
9.236842105263159e-08,99999999.53865884
9.25e-08,99999999.5460095
9.263157894736842e-08,99999999.55339119
9.276315789473685e-08,99999999.56080341
9.289473684210526e-08,99999999.56824565
9.302631578947369e-08,99999999.57571739
9.31578947368421e-08,99999999.58321814
9.328947368421052e-08,99999999.59074737
9.342105263157895e-08,99999999.59830457
9.355263157894737e-08,99999999.60588923
9.36842105263158e-08,99999999.61350083
9.381578947368421e-08,99999999.62113884
9.394736842105263e-08,99999999.62880275
9.407894736842105e-08,99999999.63649203
9.421052631578947e-08,99999999.64420615
9.43421052631579e-08,99999999.6519446
9.447368421052631e-08,99999999.65970683
9.460526315789473e-08,99999999.66749232
9.473684210526316e-08,99999999.67530052
9.486842105263157e-08,99999999.68313093
9.5e-08,99999999.69098301
9.513157894736842e-08,99999999.69885619
9.526315789473685e-08,99999999.70674996
9.539473684210526e-08,99999999.71466377
9.552631578947368e-08,99999999.72259709
9.565789473684211e-08,99999999.73054937
9.578947368421052e-08,99999999.73852006
9.592105263157895e-08,99999999.74650863
9.605263157894737e-08,99999999.75451452
9.618421052631578e-08,99999999.76253718
9.631578947368421e-08,99999999.77057607
